Ranking Indonesia,Nama Kampus,World Rank,Impact Rank
1,Universitas Indonesia,801,1231
2,Institut Teknologi Bandung,823,1253
3,Universitas Gadjah Mada,867,1297
4,IPB University,912,1342
5,Sepuluh Nopember Institute of Technology,956,1386
6,Universitas Airlangga,978,1408
7,Universitas Diponegoro,1021,1451
8,Universitas Brawijaya,1043,1473
9,Universitas Hasanuddin,1087,1517
10,Universitas Sebelas Maret,1109,1539
11,Universitas Padjadjaran,1154,1584
12,Universitas Pendidikan Indonesia,1198,1628
13,Universitas Syiah Kuala,1243,1673
14,Universitas Andalas,1287,1717
15,Universitas Negeri Yogyakarta,1332,1762
16,Telkom University,1376,1806
17,Universitas Negeri Malang,1421,1851
18,Universitas Negeri Semarang,1465,1895
19,Universitas Sriwijaya,1509,1939
20,Universitas Negeri Surabaya,1554,1984
21,Universitas Islam Indonesia,1598,2028
22,Universitas Muhammadiyah Yogyakarta,1643,2073
23,Universitas Sam Ratulangi,1687,2117
24,Universitas Sumatera Utara,1732,2162
25,Universitas Lampung,1776,2206
26,Universitas Riau,1821,2251
27,Universitas Udayana,1865,2295
28,Universitas Tangjungpura,1909,2339
29,Universitas Negeri Padang,1954,2384
30,Universitas Negeri Makassar,1998,2428
31,Universitas Mulawarman,2043,2473
32,Universitas Jember,2087,2517
33,Universitas Malikussaleh,2132,2562
34,Universitas Mataram,2176,2606
35,Universitas Palangka Raya,2221,2651
36,Binus University,2265,2695
37,Universitas Pattimura,2309,2739
38,Universitas Haluoleo,2354,2784
39,Universitas Nusa Cendana,2398,2828
40,Universitas Tadulako,2443,2873
41,Universitas Jambi,2487,2917
42,Universitas Bengkulu,2532,2962
43,Universitas Trunojoyo Madura,2576,3006
44,Universitas Sultan Ageng Tirtayasa,2620,3050
45,Universitas Gunadarma,2665,3095
46,Universitas Singaperbangsa Karawang,2709,3139
47,Universitas Trisakti,2754,3184
48,Universitas Katolik Atma Jaya,2798,3228
49,Universitas Mercu Buana,2843,3273
50,Universitas Muhammadiyah Malang,2887,3317
51,Universitas Ahmad Dahlan,2931,3361
52,Universitas Dian Nuswantoro,2976,3406
53,Universitas Jenderal Soedirman,3020,3450
54,Universitas Pembangunan Nasional Veteran Yogyakarta,3065,3495
55,Universitas Pembangunan Nasional Veteran Jakarta,3109,3539
56,Universitas Pembangunan Nasional Veteran Jawa Timur,3154,3584
57,Universitas Tidar,3198,3628
58,Universitas Siliwangi,3242,3672
59,Institut Teknologi Sepuluh Nopember,3287,3717
60,Universitas Warmadewa,3331,3761
61,Universitas Negeri Gorontalo,3376,3806
62,Universitas Khairun,3420,3850
63,Universitas Musamus Merauke,3465,3895
64,Universitas Cenderawasih,3509,3939
65,Universitas Papua,3553,3983
66,Universitas Borneo Tarakan,3598,4028
67,Universitas Bangka Belitung,3642,4072
68,Universitas Maritim Raja Ali Haji,3687,4117
69,Universitas Muhammadiyah Surakarta,3731,4161
70,Universitas Muhammadiyah Sumatera Utara,3776,4206
71,Universitas Muhammadiyah Makassar,3820,4250
72,Universitas Muhammadiyah Purwokerto,3864,4294
73,Universitas Muhammadiyah Prof. Dr. HAMKA,3909,4339
74,Universitas Muhammadiyah Sidoarjo,3953,4383
75,Universitas Muhammadiyah Jember,3998,4428
76,Universitas Muhammadiyah Ponorogo,4042,4472
77,Universitas Muhammadiyah Purworejo,4087,4517
78,Universitas Nahdlatul Ulama Surabaya,4131,4561
79,Universitas Islam Negeri Sunan Kalijaga,4175,4605
80,Universitas Islam Negeri Maulana Malik Ibrahim,4220,4650
81,Universitas Islam Negeri Sunan Ampel,4264,4694
82,Universitas Islam Negeri Alauddin,4309,4739
83,Universitas Islam Negeri Ar-Raniry,4353,4783
84,Universitas Islam Negeri Raden Fatah,4398,4828
85,Universitas Islam Negeri Sunan Gunung Djati,4442,4872
86,Universitas Islam Negeri Walisongo,4486,4916
87,Universitas Islam Negeri Sultan Syarif Kasim,4531,4961
88,Universitas Islam Negeri Syarif Hidayatullah,4575,5005
89,Universitas Islam Negeri Jakarta,4620,5050
90,Universitas Islam Negeri Mataram,4664,5094
91,Universitas Islam Negeri Antasari,4708,5138
92,Universitas Islam Negeri Imam Bonjol,4753,5183
93,Universitas Islam Negeri Sulthan Thaha Saifuddin,4797,5227
94,Universitas Islam Negeri Raden Intan,4842,5272
95,Universitas Islam Negeri Sumatera Utara,4886,5316
96,Universitas Islam Negeri Datokarama,4931,5361
97,Institut Pertanian Bogor,4975,5405
98,Institut Teknologi Bandung,5019,5449
99,Institut Teknologi Del,5064,5494
100,Institut Teknologi Kalimantan,5108,5538
